data_id,lang_group
266078,2
266079,2
266080,2
266081,2
266082,2
266083,2
266084,2
266085,2
266086,2
266087,2
266088,2
266089,2
266090,2
266091,2
266092,2
266093,2
266094,2
266095,2
266096,2
266097,2
266098,2
266099,2
266100,2
266101,2
266102,2
266103,2
266104,2
266105,2
266106,2
266107,2
266108,2
266109,2
266110,2
266111,2
266112,2
266113,2
266114,2
266115,2
266116,2
266117,2
266118,2
266119,2
266120,2
266121,2
266122,2
266123,1
266124,1
266125,1
266126,1
266127,1
266128,1
266129,1
266130,1
266131,1
266132,1
266133,1
266134,1
266135,1
266136,1
266137,1
266138,1
266139,1
266140,1
266141,1
266142,1
266143,1
266144,1
266145,1
266146,1
266147,1
266148,1
266149,1
266150,1
266151,1
266152,1
266153,1
266154,1
266155,1
266156,1
266157,1
266158,1
266159,1
266160,1
266161,1
266162,1
266163,1
266164,1
266165,1
266166,1
266167,1
266168,1
266169,1
266170,1
266171,1
266172,1
266173,1
266174,1
266175,1
266176,1
266177,1
266178,1
266179,1
266180,1
266181,1
266182,1
266183,1
266184,1
266185,1
266186,1
266187,1
266188,1
266189,1
266190,1
266191,1
266192,1
266193,1
266194,1
266195,1
266196,1
266197,1
266198,1
266199,1
266200,1
266201,1
266202,1
266203,1
266204,1
266205,1
266206,1
266207,1
266208,1
266209,1
266210,1
266211,1
266212,1
266213,1
266214,1
266215,1
266216,1
266217,1
266218,1
266219,1
266220,1
266221,1
266222,1
266223,1
266224,1
266225,1
266226,1
266227,1
266228,1
266229,1
266230,1
266231,1
266232,1
266233,1
266234,1
266235,1
266236,1
266237,1
266238,1
266239,1
266240,1
266241,1
266242,1
266243,1
266244,1
266245,1
266246,1
266247,1
266248,1
266249,1
266250,1
266251,1
266252,1
266253,1
266254,1
266255,1
