data_id,lang_group
265475,2
265476,2
265477,2
265478,2
265479,2
265480,2
265481,2
265482,2
265483,2
265484,2
265485,2
265486,2
265487,2
265488,2
265489,2
265490,2
265491,2
265492,2
265493,2
265494,2
265495,2
265496,2
265497,2
265498,2
265499,2
265500,2
265501,2
265502,2
265503,2
265504,2
265505,2
265506,2
265507,2
265508,2
265509,2
265510,2
265511,2
265512,2
265513,2
265514,2
265515,2
265516,2
265517,2
265518,2
265519,2
265520,2
265521,2
265522,2
265523,2
265524,2
265525,2
265526,2
265527,2
265528,2
265529,2
265530,2
265531,2
265532,2
265533,2
265534,2
265535,2
265536,2
265537,2
265538,2
265539,2
265540,2
265541,2
265542,2
265543,2
265544,2
265545,2
265546,2
265547,2
265548,2
265549,2
265550,2
265551,2
265552,2
265553,2
265554,2
265555,2
265556,2
265557,2
265558,2
265559,2
265560,2
265561,2
265562,2
265563,2
265564,2
265565,2
265566,2
265567,2
265568,2
265569,2
265570,2
265571,2
265572,2
265573,2
265574,2
265575,2
265576,2
265577,2
265578,2
265579,2
265580,2
265581,2
265582,2
265583,2
265584,2
265585,2
265586,2
265587,2
265588,2
265589,2
265590,2
265591,2
265592,2
265593,2
265594,2
265595,2
265596,2
265597,2
265598,2
265599,2
265600,2
265601,2
265602,2
265603,2
265604,2
265605,2
265606,2
265607,2
265608,2
265609,2
265610,2
265611,2
265612,2
265613,2
265614,2
265615,2
265616,2
265617,2
265618,2
265619,2
265620,2
265621,2
265622,2
265623,2
265624,2
265625,2
265626,2
265627,2
265628,2
265629,2
265630,2
265631,2
265632,2
265633,2
265634,2
265635,2
265636,2
265637,2
265638,2
265639,2
265640,2
265641,2
265642,2
265643,2
265644,2
265645,2
265646,2
265647,2
265648,2
265649,2
265650,2
265651,2
265652,2
265653,2
265654,2
265655,2
265656,2
265657,2
265658,2
265659,2
265660,2
265661,2
265662,2
265663,2
265664,2
265665,2
265666,2
265667,1
265668,1
265669,1
265670,1
265671,1
265672,1
265673,1
265674,1
265675,1
265676,1
265677,1
265678,1
265679,1
265680,1
265681,1
265682,1
265683,1
265684,1
265685,1
265686,1
265687,1
265688,1
265689,1
265690,1
265691,1
265692,1
265693,1
265694,1
265695,1
265696,1
265697,1
265698,1
265699,1
265700,1
265701,1
265702,1
265703,1
265704,1
265705,1
265706,1
265707,1
265708,1
265709,1
265710,1
265711,1
265712,1
265713,1
265714,1
265715,1
265716,1
265717,1
265718,1
265719,1
265720,1
265721,1
265722,1
265723,1
265724,1
265725,1
265726,1
265727,1
265728,1
265729,1
265730,1
265731,1
265732,1
265733,1
265734,1
265735,1
265736,1
265737,1
265738,1
265739,1
265740,1
265741,1
265742,1
265743,1
265744,1
265745,1
265746,1
265747,1
265748,1
265749,1
265750,1
265751,1
265752,1
265753,1
265754,1
265755,1
265756,1
265757,1
265758,1
265759,1
265760,1
265761,1
265762,1
265763,1
265764,1
265765,1
265766,1
265767,1
265768,1
265769,1
265770,1
265771,1
265772,1
265773,1
265774,1
265775,1
265776,1
265777,1
265778,1
265779,2
265780,2
265781,2
265782,2
265783,2
265784,2
265785,2
265786,2
265787,2
265788,2
265789,2
265790,2
265791,2
265792,2
265793,2
265794,2
265795,2
265796,2
265797,2
265798,2
265799,2
265800,2
265801,2
265802,2
265803,2
265804,2
265805,2
265806,2
265807,2
265808,2
265809,2
265810,2
265811,2
265812,2
265813,2
265814,2
265815,2
265816,2
265817,2
265818,2
265819,2
265820,2
265821,2
265822,2
265823,2
265824,2
265825,2
265826,2
265827,2
265828,2
265829,2
265830,2
265831,2
265832,2
265833,2
265834,2
265835,2
265836,2
265837,2
265838,2
265839,2
265840,2
265841,2
265842,2
265843,2
265844,2
265845,2
265846,2
265847,2
265848,2
265849,2
265850,2
265851,2
265852,2
265853,2
265854,2
265855,2
265856,2
265857,2
265858,2
265859,2
265860,2
265861,2
265862,2
265863,2
265864,2
265865,2
265866,2
265867,2
265868,2
265869,2
265870,2
265871,2
265872,2
265873,2
265874,2
265875,2
265876,2
265877,2
265878,2
265879,2
265880,2
265881,2
265882,2
265883,2
265884,2
265885,2
265886,2
265887,2
265888,2
265889,2
265890,2
265891,2
265892,2
265893,2
265894,2
265895,2
265896,2
265897,2
265898,2
265899,2
265900,2
265901,2
265902,2
265903,2
265904,2
265905,2
265906,2
265907,2
265908,2
265909,2
265910,2
265911,2
265912,2
265913,2
265914,2
265915,2
265916,2
265917,2
265918,2
265919,2
265920,2
265921,2
265922,2
265923,2
265924,2
265925,2
265926,2
265927,2
265928,2
265929,2
265930,2
265931,2
265932,2
265933,2
265934,2
265935,2
265936,2
265937,2
265938,2
265939,2
265940,2
265941,2
265942,2
265943,2
265944,2
265945,2
265946,2
265947,2
265948,2
265949,2
265950,2
265951,2
265952,2
265953,2
265954,2
265955,2
265956,2
265957,2
265958,2
265959,2
265960,2
265961,2
265962,2
265963,2
265964,2
265965,2
265966,2
265967,2
265968,2
265969,2
265970,2
265971,2
265972,2
265973,2
265974,2
265975,2
265976,2
265977,2
265978,2
265979,2
265980,2
265981,2
265982,2
265983,2
265984,2
265985,2
265986,2
265987,2
265988,2
265989,2
265990,2
265991,2
265992,2
265993,2
265994,2
265995,2
265996,2
265997,2
265998,2
265999,2
266000,2
266001,2
266002,2
266003,2
266004,2
266005,2
266006,2
266007,2
266008,2
266009,2
266010,2
266011,2
266012,2
266013,2
266014,2
266015,2
266016,2
266017,2
266018,2
266019,2
266020,2
266021,2
266022,2
266023,2
266024,2
266025,2
266026,2
266027,2
266028,2
266029,2
266030,2
266031,2
266032,2
266033,2
266034,2
266035,2
266036,2
266037,2
266038,2
266039,2
266040,2
266041,2
266042,2
266043,2
266044,2
266045,2
266046,2
266047,2
266048,2
266049,2
266050,2
266051,2
266052,2
266053,2
266054,2
266055,2
266056,2
266057,2
266058,2
266059,2
266060,2
266061,2
266062,2
266063,2
266064,2
266065,2
266066,2
266067,2
266068,2
266069,2
266070,2
266071,2
266072,2
266073,2
266074,2
266075,2
266076,2
266077,2
