Sub_ID,Study_ID,Lang_Group,Dom_Lang,Age_Days,Age_Months,Sex,Mat_Edu_Years,Lang_Exp_Eng,Lang_Exp_Fr,Lang_Exp_Other,Other_Lang,Eng_CDI_Filled_By,Fr_CDI_Filled_By,Visit_Num,TotalNW_Eng,TotalNW_Fr,Total_Vocabulary,Total_Conceptual_Vocabulary,Total_Number_TEs,Prop_TEs
1171,S191,Trilingual,English,628,20,F,16,36,19,46,Spanish,Mother,Mother,1,61,89,150,108,42,0.56
1172,S109,Bilingual,English,565,18,M,16,70,30,0,NA,Mother,Mother,1,36,22,58,45,13,0.448275862
1172,S110,Bilingual,English,617,20,M,16,63,37,0,NA,Mother,Mother,2,64,63,127,93,34,0.535433071
1173,S176,Bilingual,French,582,19,F,18,49,51,0,NA,Father,Father,1,14,36,50,42,8,0.32
1173,S177,Bilingual,English,623,20,F,18,64,36,0,NA,Mother,Father,2,63,46,109,84,25,0.458715596
1174,S179,Bilingual,French,537,17,F,18,47,53,0,NA,Mother,Mother,1,13,7,20,15,5,0.5
1174,S180,Bilingual,French,622,20,F,18,44,56,0,NA,Father,Father,2,64,54,118,86,32,0.542372881
1175,S111,Bilingual,French,559,18,F,16,38,62,0,NA,Mother,Mother,1,20,51,71,58,13,0.366197183
1175,S112,Bilingual,French,641,21,F,16,31,69,0,NA,Mother,Mother,2,43,191,234,202,32,0.273504274
1175,S113,Bilingual,French,760,24,F,16,35,65,0,NA,Mother,Mother,3,107,378,485,398,87,0.358762887
1176,S201,Trilingual,English,554,18,M,16,49,32,19,Chinese,Mother,Mother,1,7,5,12,10,2,0.333333333
1177,S181,Bilingual,French,775,25,M,18,38,62,0,NA,Mother,Mother,1,226,315,541,396,145,0.536044362
1178,S182,Bilingual,English,627,20,M,18,55,45,0,NA,Mother,Mother,1,165,196,361,263,98,0.542936288
1179,S114,Bilingual,English,598,19,M,16,51,50,0,NA,Mother,Mother,1,36,43,79,57,22,0.556962025
1180,S115,Bilingual,French,543,17,M,16,48,52,0,NA,Mother,Mother,1,10,2,12,12,0,0
1180,S116,Bilingual,French,606,19,M,16,47,53,0,NA,Mother,Mother,2,12,6,18,17,1,0.111111111
1181,S22,Bilingual,French,570,18,M,13,35,66,0,NA,Father,Father,1,13,28,41,32,9,0.43902439
1182,S117,Bilingual,French,636,20,F,16,48,53,0,NA,Mother,Mother,1,239,249,488,329,159,0.651639344
1183,S209,Trilingual,English,580,19,F,15,58,26,17,Creole,Mother,Mother,1,146,134,280,187,93,0.664285714
1184,S118,Bilingual,French,623,20,M,16,34,66,0,NA,Mother,Mother,1,35,66,101,81,20,0.396039604
1184,S119,Bilingual,French,747,24,M,16,39,61,0,NA,Mother,Mother,2,96,173,269,204,65,0.483271375
1185,S215,Bilingual,English,561,18,F,21,71,29,0,NA,Mother,Mother,1,386,184,570,403,167,0.585964912
1186,S23,Bilingual,English,792,26,M,13,61,39,0,NA,Mother,Mother,1,409,25,434,414,20,0.092165899
1187,S40,Bilingual,French,537,17,F,15,39,61,0,NA,Mother,Mother,1,28,63,91,70,21,0.461538462
1188,S216,Bilingual,French,575,18,F,21,29,71,0,NA,Mother,Mother,1,43,147,190,165,25,0.263157895
1189,S120,Bilingual,English,616,20,M,18,51,49,0,NA,Mother,Father,1,17,26,43,36,7,0.325581395
1190,S217,Trilingual,English,645,21,F,16,35,23,42,Spanish,Mother,Mother,1,13,11,24,19,5,0.416666667
